filepath,filename,main_category,sub_category,brand
images\ut-zap50k\Shoes\Boat Shoes\Sperry Top-Sider\7871378.506.jpg,7871378.506.jpg,Shoes,Boat Shoes,Sperry Top-Sider
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\PUMA\7883945.361121.jpg,7883945.361121.jpg,Shoes,Sneakers and Athletic Shoes,PUMA
images\ut-zap50k\Shoes\Clogs and Mules\Crocs Kids\7891117.325865.jpg,7891117.325865.jpg,Shoes,Clogs and Mules,Crocs Kids
images\ut-zap50k\Boots\Ankle\Steve Madden\7907270.72.jpg,7907270.72.jpg,Boots,Ankle,Steve Madden
images\ut-zap50k\Boots\Mid-Calf\Laredo\8003152.364564.jpg,8003152.364564.jpg,Boots,Mid-Calf,Laredo
images\ut-zap50k\Shoes\Heels\Stuart Weitzman for The Cool People\7902067.3.jpg,7902067.3.jpg,Shoes,Heels,Stuart Weitzman for The Cool People
images\ut-zap50k\Shoes\Flats\Merrell\7987337.6.jpg,7987337.6.jpg,Shoes,Flats,Merrell
images\ut-zap50k\Boots\Ankle\Frye\7341113.248964.jpg,7341113.248964.jpg,Boots,Ankle,Frye
images\ut-zap50k\Sandals\Flat\Sanuk\7395695.3.jpg,7395695.3.jpg,Sandals,Flat,Sanuk
images\ut-zap50k\Shoes\Boat Shoes\Cole Haan\7610639.395250.jpg,7610639.395250.jpg,Shoes,Boat Shoes,Cole Haan
images\ut-zap50k\Boots\Ankle\UGG\7201307.30983.jpg,7201307.30983.jpg,Boots,Ankle,UGG
images\ut-zap50k\Sandals\Flat\Onex\8102611.147.jpg,8102611.147.jpg,Sandals,Flat,Onex
images\ut-zap50k\Boots\Knee High\Nine West\8051299.52294.jpg,8051299.52294.jpg,Boots,Knee High,Nine West
images\ut-zap50k\Shoes\Prewalker\Ralph Lauren Layette Kids\7976353.500.jpg,7976353.500.jpg,Shoes,Prewalker,Ralph Lauren Layette Kids
images\ut-zap50k\Boots\Ankle\Vivobarefoot\7977497.325.jpg,7977497.325.jpg,Boots,Ankle,Vivobarefoot
images\ut-zap50k\Shoes\Oxfords\Stacy Adams\8103310.184651.jpg,8103310.184651.jpg,Shoes,Oxfords,Stacy Adams
images\ut-zap50k\Boots\Ankle\Big Buddha\8047089.2006.jpg,8047089.2006.jpg,Boots,Ankle,Big Buddha
images\ut-zap50k\Boots\Ankle\Timberland PRO\7246633.67145.jpg,7246633.67145.jpg,Boots,Ankle,Timberland PRO
images\ut-zap50k\Boots\Mid-Calf\Geox Kids\8016683.3.jpg,8016683.3.jpg,Boots,Mid-Calf,Geox Kids
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Gravis\7806699.373106.jpg,7806699.373106.jpg,Shoes,Sneakers and Athletic Shoes,Gravis
images\ut-zap50k\Sandals\Flat\MICHAEL Michael Kors\8115506.3.jpg,8115506.3.jpg,Sandals,Flat,MICHAEL Michael Kors
images\ut-zap50k\Shoes\Firstwalker\Stride Rite\7999899.40295.jpg,7999899.40295.jpg,Shoes,Firstwalker,Stride Rite
images\ut-zap50k\Sandals\Flat\Naot Footwear\7615194.220505.jpg,7615194.220505.jpg,Sandals,Flat,Naot Footwear
images\ut-zap50k\Boots\Ankle\Frye\7792007.20.jpg,7792007.20.jpg,Boots,Ankle,Frye
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Frye Kids\7926036.6.jpg,7926036.6.jpg,Shoes,Sneakers and Athletic Shoes,Frye Kids
images\ut-zap50k\Sandals\Flat\Volcom\7888907.125647.jpg,7888907.125647.jpg,Sandals,Flat,Volcom
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\New Balance\7973593.9.jpg,7973593.9.jpg,Shoes,Sneakers and Athletic Shoes,New Balance
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\DC\7868362.107873.jpg,7868362.107873.jpg,Shoes,Sneakers and Athletic Shoes,DC
images\ut-zap50k\Sandals\Flat\Salt Water Sandal by Hoy Shoes\7532567.193781.jpg,7532567.193781.jpg,Sandals,Flat,Salt Water Sandal by Hoy Shoes
images\ut-zap50k\Sandals\Flat\Frye\7911042.332571.jpg,7911042.332571.jpg,Sandals,Flat,Frye
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Tsukihoshi Kids\7920072.334996.jpg,7920072.334996.jpg,Shoes,Sneakers and Athletic Shoes,Tsukihoshi Kids
images\ut-zap50k\Boots\Mid-Calf\Ariat\7992677.361611.jpg,7992677.361611.jpg,Boots,Mid-Calf,Ariat
images\ut-zap50k\Sandals\Flat\Onex\7219384.57111.jpg,7219384.57111.jpg,Sandals,Flat,Onex
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Pro-Keds\7995857.9.jpg,7995857.9.jpg,Shoes,Sneakers and Athletic Shoes,Pro-Keds
images\ut-zap50k\Sandals\Flat\LAUREN Ralph Lauren\7406098.381243.jpg,7406098.381243.jpg,Sandals,Flat,LAUREN Ralph Lauren
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\New Balance Kids\7931182.10623.jpg,7931182.10623.jpg,Shoes,Sneakers and Athletic Shoes,New Balance Kids
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Vans\7213526.385246.jpg,7213526.385246.jpg,Shoes,Sneakers and Athletic Shoes,Vans
images\ut-zap50k\Boots\Ankle\Khombu\7819577.155304.jpg,7819577.155304.jpg,Boots,Ankle,Khombu
images\ut-zap50k\Sandals\Flat\Birkenstock\7616245.208913.jpg,7616245.208913.jpg,Sandals,Flat,Birkenstock
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Keen Kids\7716290.261573.jpg,7716290.261573.jpg,Shoes,Sneakers and Athletic Shoes,Keen Kids
images\ut-zap50k\Sandals\Flat\Helle Comfort\7653176.330090.jpg,7653176.330090.jpg,Sandals,Flat,Helle Comfort
images\ut-zap50k\Shoes\Firstwalker\Ralph Lauren Layette Kids\8025317.212080.jpg,8025317.212080.jpg,Shoes,Firstwalker,Ralph Lauren Layette Kids
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Converse\7208972.46276.jpg,7208972.46276.jpg,Shoes,Sneakers and Athletic Shoes,Converse
images\ut-zap50k\Shoes\Clogs and Mules\Clarks\7993157.72.jpg,7993157.72.jpg,Shoes,Clogs and Mules,Clarks
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Nike Action\7575138.384528.jpg,7575138.384528.jpg,Shoes,Sneakers and Athletic Shoes,Nike Action
images\ut-zap50k\Sandals\Flat\Jumping Jacks Kids\7902880.330572.jpg,7902880.330572.jpg,Sandals,Flat,Jumping Jacks Kids
images\ut-zap50k\Shoes\Flats\Merrell\7879570.321052.jpg,7879570.321052.jpg,Shoes,Flats,Merrell
images\ut-zap50k\Shoes\Clogs and Mules\Dansko\7894489.329586.jpg,7894489.329586.jpg,Shoes,Clogs and Mules,Dansko
images\ut-zap50k\Sandals\Flat\Volcom\7746469.29697.jpg,7746469.29697.jpg,Sandals,Flat,Volcom
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Converse Kids\8035494.170279.jpg,8035494.170279.jpg,Shoes,Sneakers and Athletic Shoes,Converse Kids
images\ut-zap50k\Sandals\Flat\Teva\7873834.714.jpg,7873834.714.jpg,Sandals,Flat,Teva
images\ut-zap50k\Shoes\Clogs and Mules\La Plume\8020350.6.jpg,8020350.6.jpg,Shoes,Clogs and Mules,La Plume
images\ut-zap50k\Boots\Knee High\UGG Kids\7658272.18914.jpg,7658272.18914.jpg,Boots,Knee High,UGG Kids
images\ut-zap50k\Shoes\Heels\Caparros\8082657.147958.jpg,8082657.147958.jpg,Shoes,Heels,Caparros
images\ut-zap50k\Boots\Ankle\Merrell\7729261.3543.jpg,7729261.3543.jpg,Boots,Ankle,Merrell
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\adidas by Stella McCartney\7892374.326525.jpg,7892374.326525.jpg,Shoes,Sneakers and Athletic Shoes,adidas by Stella McCartney
images\ut-zap50k\Shoes\Flats\Diane Von Furstenberg\8068038.387090.jpg,8068038.387090.jpg,Shoes,Flats,Diane Von Furstenberg
images\ut-zap50k\Shoes\Loafers\Betsey Johnson\8058386.20704.jpg,8058386.20704.jpg,Shoes,Loafers,Betsey Johnson
images\ut-zap50k\Slippers\Slipper Flats\Cienta Kids Shoes\8029274.8.jpg,8029274.8.jpg,Slippers,Slipper Flats,Cienta Kids Shoes
images\ut-zap50k\Shoes\Prewalker\Puma Kids\7989531.130127.jpg,7989531.130127.jpg,Shoes,Prewalker,Puma Kids
images\ut-zap50k\Boots\Mid-Calf\Burberry\7807422.3.jpg,7807422.3.jpg,Boots,Mid-Calf,Burberry
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Emerica\7892370.254008.jpg,7892370.254008.jpg,Shoes,Sneakers and Athletic Shoes,Emerica
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Bloch\7549601.3.jpg,7549601.3.jpg,Shoes,Sneakers and Athletic Shoes,Bloch
images\ut-zap50k\Shoes\Flats\Paul Smith\7992431.11415.jpg,7992431.11415.jpg,Shoes,Flats,Paul Smith
images\ut-zap50k\Shoes\Heels\Naot Footwear\7990749.360886.jpg,7990749.360886.jpg,Shoes,Heels,Naot Footwear
images\ut-zap50k\Boots\Ankle\FIEL\8052010.22570.jpg,8052010.22570.jpg,Boots,Ankle,FIEL
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\DC Kids\7605808.269967.jpg,7605808.269967.jpg,Shoes,Sneakers and Athletic Shoes,DC Kids
images\ut-zap50k\Sandals\Flat\Reebok\8071481.388907.jpg,8071481.388907.jpg,Sandals,Flat,Reebok
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Cushe\7883352.875.jpg,7883352.875.jpg,Shoes,Sneakers and Athletic Shoes,Cushe
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Easy Spirit\7929356.191965.jpg,7929356.191965.jpg,Shoes,Sneakers and Athletic Shoes,Easy Spirit
images\ut-zap50k\Shoes\Boat Shoes\Frye Kids\7926079.1430.jpg,7926079.1430.jpg,Shoes,Boat Shoes,Frye Kids
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\adidas Running\7700637.390068.jpg,7700637.390068.jpg,Shoes,Sneakers and Athletic Shoes,adidas Running
images\ut-zap50k\Shoes\Loafers\SKECHERS\8000684.6.jpg,8000684.6.jpg,Shoes,Loafers,SKECHERS
images\ut-zap50k\Shoes\Flats\Keen\7977425.3.jpg,7977425.3.jpg,Shoes,Flats,Keen
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Saucony Originals\7203635.147.jpg,7203635.147.jpg,Shoes,Sneakers and Athletic Shoes,Saucony Originals
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Nike Kids\7760713.370127.jpg,7760713.370127.jpg,Shoes,Sneakers and Athletic Shoes,Nike Kids
images\ut-zap50k\Boots\Knee High\Annie\8030313.249356.jpg,8030313.249356.jpg,Boots,Knee High,Annie
images\ut-zap50k\Boots\Ankle\Nine West\8050755.1084.jpg,8050755.1084.jpg,Boots,Ankle,Nine West
images\ut-zap50k\Boots\Knee High\Clarks\7993564.72.jpg,7993564.72.jpg,Boots,Knee High,Clarks
images\ut-zap50k\Shoes\Flats\Nina Kids\7150449.89.jpg,7150449.89.jpg,Shoes,Flats,Nina Kids
images\ut-zap50k\Shoes\Heels\Think!\7925587.368315.jpg,7925587.368315.jpg,Shoes,Heels,Think!
images\ut-zap50k\Shoes\Flats\Amiana\7944485.433.jpg,7944485.433.jpg,Shoes,Flats,Amiana
images\ut-zap50k\Shoes\Crib Shoes\Vans Kids\7430842.389065.jpg,7430842.389065.jpg,Shoes,Crib Shoes,Vans Kids
images\ut-zap50k\Shoes\Heels\Type Z\7991866.4751.jpg,7991866.4751.jpg,Shoes,Heels,Type Z
images\ut-zap50k\Shoes\Heels\Trotters\7993917.89.jpg,7993917.89.jpg,Shoes,Heels,Trotters
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Globe\7474335.109475.jpg,7474335.109475.jpg,Shoes,Sneakers and Athletic Shoes,Globe
images\ut-zap50k\Boots\Ankle\BOSS Black\8107425.3.jpg,8107425.3.jpg,Boots,Ankle,BOSS Black
images\ut-zap50k\Boots\Knee High\MICHAEL Michael Kors\8031269.3165.jpg,8031269.3165.jpg,Boots,Knee High,MICHAEL Michael Kors
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Nike Action Kids\7758935.248988.jpg,7758935.248988.jpg,Shoes,Sneakers and Athletic Shoes,Nike Action Kids
images\ut-zap50k\Boots\Knee High\Frye\7970494.248970.jpg,7970494.248970.jpg,Boots,Knee High,Frye
images\ut-zap50k\Shoes\Heels\Nine West\7777410.1745.jpg,7777410.1745.jpg,Shoes,Heels,Nine West
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\New Balance Kids\8023736.9.jpg,8023736.9.jpg,Shoes,Sneakers and Athletic Shoes,New Balance Kids
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Saucony\7970493.10647.jpg,7970493.10647.jpg,Shoes,Sneakers and Athletic Shoes,Saucony
images\ut-zap50k\Sandals\Flat\Onex\7925398.1839.jpg,7925398.1839.jpg,Sandals,Flat,Onex
images\ut-zap50k\Shoes\Flats\Clarks\7203203.2206.jpg,7203203.2206.jpg,Shoes,Flats,Clarks
images\ut-zap50k\Sandals\Flat\Naot Footwear\7749005.2063.jpg,7749005.2063.jpg,Sandals,Flat,Naot Footwear
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Nike\7965534.385250.jpg,7965534.385250.jpg,Shoes,Sneakers and Athletic Shoes,Nike
images\ut-zap50k\Boots\Ankle\Nike Kids\7839574.24150.jpg,7839574.24150.jpg,Boots,Ankle,Nike Kids
images\ut-zap50k\Shoes\Oxfords\Born\7700337.157584.jpg,7700337.157584.jpg,Shoes,Oxfords,Born
images\ut-zap50k\Slippers\Slipper Flats\Daniel Green\7673094.6.jpg,7673094.6.jpg,Slippers,Slipper Flats,Daniel Green
images\ut-zap50k\Boots\Ankle\Tretorn\8079600.3.jpg,8079600.3.jpg,Boots,Ankle,Tretorn
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\adidas Kids\7604642.24150.jpg,7604642.24150.jpg,Shoes,Sneakers and Athletic Shoes,adidas Kids
images\ut-zap50k\Shoes\Heels\Annie\7593396.36863.jpg,7593396.36863.jpg,Shoes,Heels,Annie
images\ut-zap50k\Shoes\Clogs and Mules\Merrell\7813564.24552.jpg,7813564.24552.jpg,Shoes,Clogs and Mules,Merrell
images\ut-zap50k\Boots\Knee High\Vince Camuto\8026525.213341.jpg,8026525.213341.jpg,Boots,Knee High,Vince Camuto
images\ut-zap50k\Boots\Ankle\Lacoste\8014064.325.jpg,8014064.325.jpg,Boots,Ankle,Lacoste
images\ut-zap50k\Sandals\Flat\Reef Kids\7726124.147.jpg,7726124.147.jpg,Sandals,Flat,Reef Kids
images\ut-zap50k\Shoes\Flats\Pazitos\7843161.275.jpg,7843161.275.jpg,Shoes,Flats,Pazitos
images\ut-zap50k\Sandals\Flat\New Balance\7985494.6.jpg,7985494.6.jpg,Sandals,Flat,New Balance
images\ut-zap50k\Shoes\Heels\Vigotti\7687128.89.jpg,7687128.89.jpg,Shoes,Heels,Vigotti
images\ut-zap50k\Shoes\Oxfords\ECCO\7950244.3.jpg,7950244.3.jpg,Shoes,Oxfords,ECCO
images\ut-zap50k\Shoes\Oxfords\Stacy Adams\8103316.310.jpg,8103316.310.jpg,Shoes,Oxfords,Stacy Adams
images\ut-zap50k\Shoes\Clogs and Mules\Josef Seibel\8010487.83739.jpg,8010487.83739.jpg,Shoes,Clogs and Mules,Josef Seibel
images\ut-zap50k\Shoes\Heels\Nina\7819332.3528.jpg,7819332.3528.jpg,Shoes,Heels,Nina
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\PUMA\7975786.115669.jpg,7975786.115669.jpg,Shoes,Sneakers and Athletic Shoes,PUMA
images\ut-zap50k\Shoes\Loafers\Merrell Kids\7973260.359.jpg,7973260.359.jpg,Shoes,Loafers,Merrell Kids
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\SKECHERS\8164777.21859.jpg,8164777.21859.jpg,Shoes,Sneakers and Athletic Shoes,SKECHERS
images\ut-zap50k\Boots\Ankle\Minnetonka\101434.299743.jpg,101434.299743.jpg,Boots,Ankle,Minnetonka
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\New Balance\7977809.324022.jpg,7977809.324022.jpg,Shoes,Sneakers and Athletic Shoes,New Balance
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\adidas Running\7878605.320359.jpg,7878605.320359.jpg,Shoes,Sneakers and Athletic Shoes,adidas Running
images\ut-zap50k\Boots\Knee High\Le Chameau\8005633.3.jpg,8005633.3.jpg,Boots,Knee High,Le Chameau
images\ut-zap50k\Shoes\Flats\Naturalizer\8019375.369596.jpg,8019375.369596.jpg,Shoes,Flats,Naturalizer
images\ut-zap50k\Boots\Mid-Calf\Patagonia\7982992.359.jpg,7982992.359.jpg,Boots,Mid-Calf,Patagonia
images\ut-zap50k\Slippers\Slipper Flats\smartdogs\7918590.6.jpg,7918590.6.jpg,Slippers,Slipper Flats,smartdogs
images\ut-zap50k\Shoes\Oxfords\Mezlan\7935991.2247.jpg,7935991.2247.jpg,Shoes,Oxfords,Mezlan
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Vans\7255074.359.jpg,7255074.359.jpg,Shoes,Sneakers and Athletic Shoes,Vans
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\DKNY\8124232.407039.jpg,8124232.407039.jpg,Shoes,Sneakers and Athletic Shoes,DKNY
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Merrell\7813370.178603.jpg,7813370.178603.jpg,Shoes,Sneakers and Athletic Shoes,Merrell
images\ut-zap50k\Boots\Mid-Calf\Frye Kids\7293761.20.jpg,7293761.20.jpg,Boots,Mid-Calf,Frye Kids
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\adidas Running\7976997.356033.jpg,7976997.356033.jpg,Shoes,Sneakers and Athletic Shoes,adidas Running
images\ut-zap50k\Shoes\Firstwalker\Stride Rite\7999648.1321.jpg,7999648.1321.jpg,Shoes,Firstwalker,Stride Rite
images\ut-zap50k\Boots\Mid-Calf\Hunter\8064775.3.jpg,8064775.3.jpg,Boots,Mid-Calf,Hunter
images\ut-zap50k\Boots\Knee High\Tundra Kids Boots\7837825.363910.jpg,7837825.363910.jpg,Boots,Knee High,Tundra Kids Boots
images\ut-zap50k\Boots\Ankle\Frye\7659296.3008.jpg,7659296.3008.jpg,Boots,Ankle,Frye
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Brooks\7966019.351108.jpg,7966019.351108.jpg,Shoes,Sneakers and Athletic Shoes,Brooks
images\ut-zap50k\Shoes\Oxfords\Rockport\7996625.3561.jpg,7996625.3561.jpg,Shoes,Oxfords,Rockport
images\ut-zap50k\Boots\Ankle\Rockport\7996682.329.jpg,7996682.329.jpg,Boots,Ankle,Rockport
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Avia\8070170.388278.jpg,8070170.388278.jpg,Shoes,Sneakers and Athletic Shoes,Avia
images\ut-zap50k\Shoes\Flats\Frye\7794340.332567.jpg,7794340.332567.jpg,Shoes,Flats,Frye
images\ut-zap50k\Shoes\Flats\Teva\7873955.401.jpg,7873955.401.jpg,Shoes,Flats,Teva
images\ut-zap50k\Shoes\Oxfords\GBX\8051694.401.jpg,8051694.401.jpg,Shoes,Oxfords,GBX
images\ut-zap50k\Sandals\Flat\Pikolinos\7937915.212757.jpg,7937915.212757.jpg,Sandals,Flat,Pikolinos
images\ut-zap50k\Boots\Ankle\Timberland Kids\8112012.402694.jpg,8112012.402694.jpg,Boots,Ankle,Timberland Kids
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Converse\8105404.352012.jpg,8105404.352012.jpg,Shoes,Sneakers and Athletic Shoes,Converse
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Nike Kids\8086573.356561.jpg,8086573.356561.jpg,Shoes,Sneakers and Athletic Shoes,Nike Kids
images\ut-zap50k\Sandals\Flat\FitFlop\8060972.383641.jpg,8060972.383641.jpg,Sandals,Flat,FitFlop
images\ut-zap50k\Shoes\Loafers\Steve Madden\7352958.3.jpg,7352958.3.jpg,Shoes,Loafers,Steve Madden
images\ut-zap50k\Shoes\Oxfords\Frye\7972106.9448.jpg,7972106.9448.jpg,Shoes,Oxfords,Frye
images\ut-zap50k\Boots\Ankle\Palladium\7867367.362589.jpg,7867367.362589.jpg,Boots,Ankle,Palladium
images\ut-zap50k\Boots\Mid-Calf\Blowfish\7975078.354486.jpg,7975078.354486.jpg,Boots,Mid-Calf,Blowfish
images\ut-zap50k\Shoes\Heels\ECCO\7950318.1912.jpg,7950318.1912.jpg,Shoes,Heels,ECCO
images\ut-zap50k\Boots\Mid-Calf\Bogs Kids\7976667.102432.jpg,7976667.102432.jpg,Boots,Mid-Calf,Bogs Kids
images\ut-zap50k\Boots\Mid-Calf\Hunter Kids\7653756.9.jpg,7653756.9.jpg,Boots,Mid-Calf,Hunter Kids
images\ut-zap50k\Boots\Knee High\UGG\8042007.298287.jpg,8042007.298287.jpg,Boots,Knee High,UGG
images\ut-zap50k\Shoes\Heels\Fergie\8028766.464.jpg,8028766.464.jpg,Shoes,Heels,Fergie
images\ut-zap50k\Shoes\Oxfords\Josef Seibel\7508319.186375.jpg,7508319.186375.jpg,Shoes,Oxfords,Josef Seibel
images\ut-zap50k\Shoes\Heels\BC Footwear\8070478.574.jpg,8070478.574.jpg,Shoes,Heels,BC Footwear
images\ut-zap50k\Boots\Knee High\Le Chameau\8005633.574.jpg,8005633.574.jpg,Boots,Knee High,Le Chameau
images\ut-zap50k\Sandals\Flat\Lilly Pulitzer\8018583.369227.jpg,8018583.369227.jpg,Sandals,Flat,Lilly Pulitzer
images\ut-zap50k\Shoes\Oxfords\Aravon\7567392.72.jpg,7567392.72.jpg,Shoes,Oxfords,Aravon
images\ut-zap50k\Shoes\Flats\Lucky Brand\8108513.552.jpg,8108513.552.jpg,Shoes,Flats,Lucky Brand
images\ut-zap50k\Shoes\Heels\Badgley Mischka\8087680.7724.jpg,8087680.7724.jpg,Shoes,Heels,Badgley Mischka
images\ut-zap50k\Shoes\Loafers\Merrell\7659523.236233.jpg,7659523.236233.jpg,Shoes,Loafers,Merrell
images\ut-zap50k\Sandals\Flat\Stuart Weitzman Kids\8086047.14.jpg,8086047.14.jpg,Sandals,Flat,Stuart Weitzman Kids
images\ut-zap50k\Boots\Mid-Calf\Frye\7720129.289864.jpg,7720129.289864.jpg,Boots,Mid-Calf,Frye
images\ut-zap50k\Boots\Ankle\Pour La Victoire\7990877.1942.jpg,7990877.1942.jpg,Boots,Ankle,Pour La Victoire
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Saucony\7243787.183092.jpg,7243787.183092.jpg,Shoes,Sneakers and Athletic Shoes,Saucony
images\ut-zap50k\Boots\Mid-Calf\Stetson\7970792.6.jpg,7970792.6.jpg,Boots,Mid-Calf,Stetson
images\ut-zap50k\Boots\Ankle\Bass\8030285.665.jpg,8030285.665.jpg,Boots,Ankle,Bass
images\ut-zap50k\Shoes\Flats\Primigi Kids\8022965.9.jpg,8022965.9.jpg,Shoes,Flats,Primigi Kids
images\ut-zap50k\Sandals\Flat\Stride Rite\8080791.24052.jpg,8080791.24052.jpg,Sandals,Flat,Stride Rite
images\ut-zap50k\Sandals\Flat\Coloriffics\7530026.934.jpg,7530026.934.jpg,Sandals,Flat,Coloriffics
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Brooks\7718634.315289.jpg,7718634.315289.jpg,Shoes,Sneakers and Athletic Shoes,Brooks
images\ut-zap50k\Shoes\Heels\Naot Footwear\7829954.303922.jpg,7829954.303922.jpg,Shoes,Heels,Naot Footwear
images\ut-zap50k\Boots\Knee High\Blowfish\8029043.354485.jpg,8029043.354485.jpg,Boots,Knee High,Blowfish
images\ut-zap50k\Boots\Knee High\Timberland\8008248.325.jpg,8008248.325.jpg,Boots,Knee High,Timberland
images\ut-zap50k\Shoes\Heels\Wolky\8024872.7650.jpg,8024872.7650.jpg,Shoes,Heels,Wolky
images\ut-zap50k\Sandals\Flat\Merrell\7879797.419.jpg,7879797.419.jpg,Sandals,Flat,Merrell
images\ut-zap50k\Shoes\Heels\ECCO\7814790.904.jpg,7814790.904.jpg,Shoes,Heels,ECCO
images\ut-zap50k\Boots\Ankle\DV by Dolce Vita\8047164.20.jpg,8047164.20.jpg,Boots,Ankle,DV by Dolce Vita
images\ut-zap50k\Shoes\Flats\MICHAEL Michael Kors\7480209.1141.jpg,7480209.1141.jpg,Shoes,Flats,MICHAEL Michael Kors
images\ut-zap50k\Shoes\Flats\Kate Spade New York\8046705.309860.jpg,8046705.309860.jpg,Shoes,Flats,Kate Spade New York
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Primigi Kids\8031660.9.jpg,8031660.9.jpg,Shoes,Sneakers and Athletic Shoes,Primigi Kids
images\ut-zap50k\Shoes\Heels\Badgley Mischka\8010464.10940.jpg,8010464.10940.jpg,Shoes,Heels,Badgley Mischka
images\ut-zap50k\Shoes\Heels\Truth or Dare By Madonna\8122737.473.jpg,8122737.473.jpg,Shoes,Heels,Truth or Dare By Madonna
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\SKECHERS\7882817.574.jpg,7882817.574.jpg,Shoes,Sneakers and Athletic Shoes,SKECHERS
images\ut-zap50k\Boots\Ankle\Timberland Kids\8112015.402696.jpg,8112015.402696.jpg,Boots,Ankle,Timberland Kids
images\ut-zap50k\Sandals\Flat\Orthaheel\7835591.11.jpg,7835591.11.jpg,Sandals,Flat,Orthaheel
images\ut-zap50k\Shoes\Boat Shoes\Polo Ralph Lauren\8072669.389950.jpg,8072669.389950.jpg,Shoes,Boat Shoes,Polo Ralph Lauren
images\ut-zap50k\Shoes\Oxfords\MOZO\7768854.3.jpg,7768854.3.jpg,Shoes,Oxfords,MOZO
images\ut-zap50k\Shoes\Oxfords\Cole Haan\7822351.3.jpg,7822351.3.jpg,Shoes,Oxfords,Cole Haan
images\ut-zap50k\Shoes\Heels\Bandolino\7851110.1744.jpg,7851110.1744.jpg,Shoes,Heels,Bandolino
images\ut-zap50k\Boots\Ankle\Gabriella Rocha\8021431.6.jpg,8021431.6.jpg,Boots,Ankle,Gabriella Rocha
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Patagonia\7631896.232986.jpg,7631896.232986.jpg,Shoes,Sneakers and Athletic Shoes,Patagonia
images\ut-zap50k\Shoes\Clogs and Mules\Merrell\7813564.3.jpg,7813564.3.jpg,Shoes,Clogs and Mules,Merrell
images\ut-zap50k\Shoes\Sneakers and Athletic Shoes\Converse Kids\8002029.1165.jpg,8002029.1165.jpg,Shoes,Sneakers and Athletic Shoes,Converse Kids
images\ut-zap50k\Sandals\Flat\Vince Camuto\8113275.3.jpg,8113275.3.jpg,Sandals,Flat,Vince Camuto
images\ut-zap50k\Shoes\Flats\LifeStride\7987246.1911.jpg,7987246.1911.jpg,Shoes,Flats,LifeStride
images\ut-zap50k\Shoes\Flats\MICHAEL Michael Kors\7761463.585.jpg,7761463.585.jpg,Shoes,Flats,MICHAEL Michael Kors
images\ut-zap50k\Sandals\Flat\taos Footwear\8132542.585.jpg,8132542.585.jpg,Sandals,Flat,taos Footwear
images\ut-zap50k\Sandals\Flat\Naot Footwear\7895793.328165.jpg,7895793.328165.jpg,Sandals,Flat,Naot Footwear
